label,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_impact
1,2.090811305,3.38800,1.1590e+02,1.62,1642.0,1718.04,19.90,5739.00,4.191,1.3840,0.7460
1,50.446741700,7.15900,3.7030e+02,2.67,568.0,24.64,19.40,5739.00,4.191,1.3840,0.3790
1,56.227927100,3.57000,8.6270e+02,2.37,366.0,4.22,20.90,4959.00,4.603,0.7560,0.7000
1,4.144516560,2.34210,3.9180e+02,1.48,864.0,132.08,22.80,4768.00,4.536,0.7790,0.0040
1,4.583520948,2.70550,3.8121e+03,5.39,1038.0,274.98,99.50,5815.00,4.540,0.8770,0.0450
1,8.203969580,2.96670,1.0244e+03,3.01,742.0,71.50,54.40,5015.00,4.499,0.8260,0.8230
1,12.718098660,3.09570,1.1494e+03,2.31,562.0,23.60,52.70,4702.00,4.592,0.6860,0.4270
1,4.190425659,2.85890,2.8774e+03,6.21,1234.0,547.90,240.60,6073.00,4.392,1.1350,0.4580
1,16.329752700,6.27100,1.1875e+03,3.75,727.0,66.08,74.60,5878.00,4.444,0.9870,0.7910
1,80.872346900,11.19500,3.6046e+03,7.59,452.0,9.88,160.90,5510.00,4.222,1.2380,0.5270
1,10.355331160,3.17750,7.5060e+02,2.47,777.0,86.22,49.20,5501.00,4.462,0.9180,0.0290
1,7.490183050,2.72970,1.1236e+03,2.56,753.0,76.06,53.00,5103.00,4.562,0.7870,0.0200
1,17.460879310,2.26410,8.1240e+02,2.32,568.0,24.60,22.60,5103.00,4.562,0.7870,0.5940
1,41.408316686,5.02640,2.2839e+04,11.38,453.0,9.93,907.80,5522.00,4.586,0.7470,0.3770
1,49.183941850,11.33640,1.6462e+03,8.20,669.0,47.40,355.70,5626.00,3.907,2.0570,0.0350
0,13.610148190,2.59400,5.7329e+03,19.02,733.0,68.29,184.10,5697.00,4.460,0.9030,1.0810
1,2.237489571,1.81190,3.1580e+02,1.41,1160.0,427.17,30.70,5265.00,4.580,0.8100,0.1280
1,4.311780262,2.72510,1.1540e+03,3.11,1038.0,274.84,86.10,5527.00,4.484,0.9270,0.1960
1,9.767345030,1.65850,5.6910e+02,2.67,791.0,92.46,21.10,5527.00,4.484,0.9270,0.9000
1,26.444393370,3.97830,1.8435e+03,3.91,562.0,23.54,88.00,5427.00,4.463,0.9290,0.0300
1,5.902245782,2.90030,7.0230e+02,2.43,926.0,173.74,59.30,5427.00,4.463,0.9290,0.2090
1,21.022506080,4.10720,1.7725e+03,3.07,521.0,17.48,62.40,5067.00,4.585,0.7500,0.0360
1,5.912273234,2.32540,9.6140e+02,1.73,585.0,27.72,62.80,4072.00,4.696,0.5700,0.1700
0,12.940668656,2.48450,4.2450e+04,22.94,723.0,64.64,307.50,5875.00,4.572,0.8090,0.8970
1,33.601233710,4.40560,7.4259e+03,8.46,495.0,14.22,247.90,5149.00,4.447,0.9300,0.6700
1,4.347288783,2.10240,4.5160e+02,2.36,1174.0,449.79,39.70,5754.00,4.345,1.1220,0.0250
1,11.187199050,3.25200,3.5360e+02,1.55,667.0,46.65,21.90,4986.00,4.496,0.8330,0.3870
1,12.039874880,2.73630,1.2506e+03,2.18,502.0,15.06,57.60,4261.00,4.641,0.6330,0.2860
1,23.589171430,5.07300,1.2007e+03,3.16,487.0,13.34,53.30,4919.00,4.566,0.7210,0.9260
1,10.371689280,3.03500,1.2549e+03,3.20,720.0,63.68,64.50,5121.00,4.457,0.8880,0.5370
1,226.890477500,7.55800,3.1364e+03,4.53,236.0,0.73,46.80,5067.00,4.585,0.7500,0.7310
0,1.956811408,2.19580,2.4905e+04,21.58,1109.0,357.16,125.40,5209.00,4.657,0.6030,1.0910
1,11.523067458,3.87570,5.0730e+02,3.13,927.0,174.81,142.00,5644.00,4.162,1.4110,0.0000
1,3.336123113,1.96160,5.1630e+02,1.74,970.0,209.79,41.60,5097.00,4.597,0.7790,0.2520
1,12.071342050,4.32240,7.5920e+02,1.29,395.0,5.74,31.00,3713.00,4.779,0.4700,0.0140
1,7.411131770,2.52420,6.2050e+02,2.45,905.0,158.11,50.40,5849.00,4.517,0.9190,0.7120
1,8.098889060,4.20241,6.9111e+03,8.95,986.0,223.19,435.90,6214.00,4.442,1.0760,0.0180
1,17.855221681,7.41287,9.0652e+03,13.16,911.0,163.04,915.70,6823.00,4.308,1.3670,0.0750
1,2.211116989,1.64850,7.2420e+02,1.85,931.0,177.19,42.60,4500.00,4.656,0.6460,0.6900
1,12.691043870,3.77270,2.5210e+02,2.57,1008.0,244.30,60.20,5869.00,4.024,1.6260,0.0080
